num_samples,duration,offset_seconds,window_seconds,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,code_version,echoprint_version,synch_version,rhythm_version,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,id
5167638,234.36,0,0,22050,1,4.34213,224.39764,-4.364,127.945,0.881,4,0.966,7,0.16,1,0.421,3.15,4.12,1.0,1.0,0.00131,0.596,0.952,0.0,0.598,0.0873,0.571,7B1Dl3tXqySkB8OPEwVvSu
4811092,218.19011,0,0,22050,1,3.92998,207.30196,-3.827,126.136,0.81,4,1.0,11,0.719,0,0.708,3.15,4.12,1.0,1.0,0.0022,0.583,0.942,0.00325,0.0912,0.0473,0.607,1ztbs9oxLOfYcDr5xL8loQ
6716430,304.6,0,0,22050,1,0.0,304.6,-4.674,88.634,0.111,4,0.982,1,0.689,0,0.57,3.15,4.12,1.0,1.0,0.303,0.867,0.646,0.0,0.279,0.288,0.67,6MdqqkQ8sSC0WB4i8PyRuQ
2674812,121.30667,0,0,22050,1,0.19664,118.21279,-7.51,129.715,0.82,4,0.943,8,0.555,1,0.546,3.15,4.12,1.0,1.0,0.00211,0.658,0.726,0.00229,0.0922,0.0856,0.874,4F64QXRV1EGHSm5jIeMmcQ
5227908,237.09332,0,0,22050,1,0.09293,222.77225,-6.271,95.018,0.183,4,1.0,7,0.894,1,0.616,3.15,4.12,1.0,1.0,0.00328,0.614,0.752,0.0,0.379,0.0652,0.444,1Ckd4d6vkhvOp5HlAc5Ie2
5939682,269.37332,0,0,22050,1,0.39782,265.4331,-4.04,172.984,0.538,4,0.977,9,0.428,1,0.27,3.15,4.12,1.0,1.0,0.000917,0.433,0.959,0.0,0.028,0.0431,0.365,7x8dCjCr0x6x2lXKujYD34
4886831,221.62498,0,0,22050,1,0.0,217.29234,-4.477,176.001,0.524,4,1.0,7,0.473,1,0.566,3.15,4.12,1.0,1.0,0.00809,0.483,0.923,4.06e-05,0.0929,0.0475,0.0798,3VPBqHUd17ZvEgabW9ZOUU
5369028,243.49333,0,0,22050,1,0.45864,233.79591,-3.033,82.525,0.349,4,1.0,5,0.67,0,0.788,3.15,4.12,1.0,1.0,0.703,0.691,0.741,1.11e-05,0.109,0.252,0.512,14B2bUopOga5V3ypld7d6n
4738820,214.91248,0,0,22050,1,0.20644,211.03456,-5.791,126.052,0.693,4,0.775,1,0.984,0,0.881,3.15,4.12,1.0,1.0,0.0157,0.572,0.81,6.53e-06,0.13,0.0558,0.11,6PUIzlqotEmPuBfjbwYWOB
4260648,193.22667,0,0,22050,1,0.42372,187.58821,-4.834,117.964,0.822,5,0.311,0,0.532,1,0.58,3.15,4.12,1.0,1.0,0.000178,0.649,0.807,0.0074,0.0599,0.0301,0.816,1fzJyTCKeZuTSLByCsLRHl
5455758,247.42667,0,0,22050,1,0.99896,240.35556,-5.697,124.08,0.805,4,0.81,2,0.375,1,0.556,3.15,4.12,1.0,1.0,0.0038,0.532,0.783,0.0012,0.161,0.0523,0.643,4h8VwCb1MTGoLKueQ1WgbD
5984958,271.42667,0,0,22050,1,2.95474,264.10376,-3.48,128.0,0.778,4,0.582,8,0.592,1,0.7,3.15,4.12,1.0,1.0,0.0398,0.509,0.781,0.0,0.0749,0.072,0.176,60wwxj6Dd9NJlirf84wr2c
5852667,265.42706,0,0,22050,1,0.15755,256.1103,-6.826,111.968,0.712,4,0.983,1,0.963,0,0.826,3.15,4.12,1.0,1.0,0.0542,0.565,0.654,1.8e-06,0.122,0.0335,0.235,2dBwB667LHQkLhdYlwLUZK
5098214,231.21152,0,0,22050,1,0.0,227.2421,-5.031,87.016,0.153,4,0.932,1,0.117,1,0.311,3.15,4.12,1.0,1.0,0.31,0.559,0.777,0.0,0.105,0.0432,0.329,0xMd5bcWTbyXS7wPrBtZA6
4155396,188.45332,0,0,22050,1,0.0,183.32735,-3.255,105.014,0.837,4,1.0,9,0.342,1,0.281,3.15,4.12,1.0,1.0,0.44,0.813,0.784,5.32e-06,0.0628,0.167,0.519,5xxtmIcGkXQC6vDcsgK7Dm
5311992,240.90668,0,0,22050,1,0.0,232.51302,-5.05,130.025,0.566,4,1.0,5,0.627,0,0.603,3.15,4.12,1.0,1.0,0.00876,0.763,0.653,5.46e-06,0.0854,0.149,0.477,1mz9ZrRYu3EPVg9ZHFtjjf
4139520,187.73334,0,0,22050,1,0.10458,174.13805,-6.981,133.107,0.144,4,1.0,1,0.366,1,0.492,3.15,4.12,1.0,1.0,0.0615,0.787,0.527,0.0,0.0656,0.0512,0.807,0nmxH6IsSQVT1YEsCB9UMi
5224319,236.93057,0,0,22050,1,0.0,232.75102,-5.646,140.029,0.243,4,0.918,1,0.501,0,0.629,3.15,4.12,1.0,1.0,0.00586,0.634,0.692,0.000116,0.0726,0.0997,0.0839,0ekII9O2RfHOivSRY9Bn1U
4480324,203.1893,0,0,22050,1,1.1205,196.7659,-6.185,74.98,0.344,4,1.0,0,0.0,1,0.0,3.15,4.12,1.0,1.0,0.204,0.614,0.496,0.0154,0.159,0.0292,0.267,2zsqZwmKKzdYdgRsBYbAg5
5164404,234.21333,0,0,22050,1,0.0,231.74095,-7.067,165.988,0.074,4,0.753,6,0.526,0,0.566,3.15,4.12,1.0,1.0,0.137,0.474,0.446,0.0,0.0894,0.375,0.549,1XcQusdnAx3vQtL891EUI5
